Grid Point,Drawing X,Drawing Y,2e:20,14:a1,f6:70,f6:71,5b:30,5b:31,74:c0,74:c1,f5:90,f5:91,16:a0,16:a1
1,24,49,-83,-84,-71,-72,-60,-60,-76,-73,-81,-83,-71,-73
2,77,49,-83,-83,-62,-60,-60,-62,-70,-74,-79,-81,-66,-66
3,155,49,-82,-82,-63,-58,-61,-59,-69,-72,-77,-77,-56,-59
4,237,49,-82,-84,-57,-71,-58,-55,-73,-74,-76,-77,-55,-53
5,300,49,-82,-82,-72,-66,-62,-67,-73,-72,-84,-83,-57,-66
6,470,44,-67,-69,-69,-72,-76,-75,-53,-51,-81,-81,-78,-82
7,538,49,-59,-60,-57,-58,-67,-66,-48,-51,-70,-72,-81,-84
8,633,49,-53,-49,-55,-49,-54,-60,-45,-40,-74,-67,-78,-81
9,714,49,-52,-53,-53,-58,-60,-63,-50,-46,-79,-75,-80,-81
10,762,49,-62,-62,-60,-63,-63,-67,-58,-55,-75,-75,-83,-84
11,52,142,-81,-80,-63,-60,-58,-56,-66,-69,-80,-81,-65,-62
12,155,142,-78,-80,-63,-65,-55,-56,-73,-67,-75,-75,-61,-60
13,252,142,-77,-77,-51,-62,-56,-47,-62,-61,-70,-72,-46,-50
14,349,130,-74,-73,-61,-66,-58,-59,-62,-62,-73,-78,-59,-62
15,440,130,-69,-69,-58,-58,-66,-67,-58,-57,-73,-78,-64,-62
16,547,142,-48,-48,-56,-51,-62,-61,-33,-33,-66,-67,-74,-78
17,633,142,-48,-45,-51,-60,-62,-61,-40,-37,-70,-71,-81,-80
21,728,152,-51,-57,-58,-59,-59,-57,-39,-36,-76,-74,-78,-78
22,52,225,-82,-83,-57,-60,-49,-50,-60,-63,-76,-82,-67,-71
23,155,225,-80,-78,-58,-56,-50,-51,-60,-55,-75,-89,-53,-60
24,252,225,-75,-76,-60,-53,-51,-50,-56,-54,-69,-68,-38,-38
25,349,225,-63,-63,-54,-46,-47,-49,-55,-58,-66,-73,-50,-45
26,440,225,-65,-60,-40,-46,-54,-54,-44,-44,-59,-56,-67,-67
27,534,225,-52,-56,-49,-46,-54,-46,-44,-41,-60,-61,-73,-72
28,633,225,-39,-39,-51,-58,-49,-59,-27,-27,-62,-61,-79,-77
29,736,225,-53,-60,-66,-54,-60,-60,-52,-38,-70,-66,-78,-77
30,52,314,-81,-82,-59,-62,-50,-57,-64,-63,-76,-75,-67,-65
31,155,314,-73,-73,-56,-58,-51,-52,-58,-58,-78,-79,-57,-54
32,252,314,-75,-74,-52,-55,-40,-43,-58,-59,-76,-74,-51,-52
33,349,314,-69,-70,-55,-54,-42,-49,-52,-51,-68,-70,-48,-51
34,440,314,-59,-59,-39,-49,-50,-50,-51,-45,-56,-59,-65,-64
35,534,314,-56,-62,-44,-45,-49,-53,-51,-44,-54,-59,-61,-67
36,633,314,-55,-59,-59,-50,-54,-50,-38,-38,-58,-60,-68,-69
37,736,314,-47,-47,-45,-43,-58,-59,-38,-35,-67,-72,-80,-75
38,52,395,-75,-76,-54,-56,-49,-45,-62,-62,-70,-74,-61,-59
39,155,400,-75,-72,-53,-46,-47,-47,-48,-51,-69,-70,-72,-66
40,251,400,-67,-67,-46,-49,-38,-34,-56,-56,-69,-70,-56,-59
41,349,400,-69,-71,-56,-51,-31,-37,-53,-55,-67,-69,-68,-65
42,440,400,-71,-72,-39,-40,-47,-47,-48,-50,-59,-65,-69,-59
43,534,400,-65,-65,-32,-33,-47,-47,-48,-48,-43,-43,-62,-66
44,633,400,-61,-58,-39,-35,-55,-56,-43,-46,-48,-44,-67,-69
45,697,400,-67,-66,-47,-51,-53,-58,-44,-48,-56,-61,-74,-72
46,39,460,-84,-85,-67,-71,-67,-68,-66,-71,-83,-82,-74,-74
47,155,486,-75,-75,-62,-63,-49,-47,-54,-53,-77,-78,-62,-62
48,252,486,-74,-72,-58,-55,-37,-43,-53,-51,-76,-70,-61,-61
49,349,486,-66,-66,-44,-56,-44,-45,-54,-52,-62,-59,-70,-62
50,440,486,-69,-73,-44,-44,-43,-48,-46,-58,-62,-68,-57,-62
51,534,486,-66,-62,-35,-41,-55,-51,-42,-37,-49,-48,-64,-62
52,633,486,-62,-62,-38,-40,-57,-57,-46,-47,-56,-53,-75,-77
53,736,486,-71,-69,-53,-56,-63,-68,-55,-58,-60,-65,-80,-78
